
 
 TABLE 1 
 
               P     A     B     C
Pscore       3.2  75.2  65.7  55.9
SUCRA        3.2  75.2  65.6  56.0
MeanRank   390.5 174.4 203.1 232.0
MedianRank 400.0 200.0 200.0 200.0
Pbest        0.2  47.5  31.7  20.5
Pscore       2.7  66.6  66.1  64.6
SUCRA        2.7  66.6  66.1  64.6
MeanRank   391.8 200.2 201.7 206.3
MedianRank 400.0 200.0 200.0 200.0
Pbest        0.1  25.9  33.1  41.0
Pscore       1.7  66.1  66.1  66.1
SUCRA        2.0  63.5  67.1  67.4
MeanRank   394.0 209.5 198.6 197.9
MedianRank 400.0 200.0 200.0 200.0
Pbest        0.1  29.4  35.1  35.5
